user_id,event_date,session_count,feature_used
1,2025-03-26,1,payment
1,2025-01-01,3,loan_apply
1,2025-03-18,4,payment
1,2025-03-06,1,promo_click
1,2025-02-01,2,promo_click
2,2025-02-08,2,payment
2,2025-02-03,3,browse
2,2025-02-19,4,loan_apply
2,2025-02-23,4,loan_apply
2,2025-04-04,3,loan_apply
2,2025-01-17,5,loan_apply
2,2025-01-14,2,browse
2,2025-02-20,4,payment
2,2025-02-07,2,payment
2,2025-03-23,3,browse
2,2025-03-04,2,promo_click
2,2025-02-07,1,promo_click
3,2025-01-30,2,browse
3,2025-03-22,5,loan_apply
3,2025-01-04,2,promo_click
3,2025-01-17,2,loan_apply
3,2025-03-25,5,payment
3,2025-01-06,5,payment
3,2025-03-18,3,browse
3,2025-04-22,3,browse
3,2025-04-21,1,browse
3,2025-02-24,3,payment
3,2025-01-16,4,promo_click
3,2025-01-04,1,browse
3,2025-04-06,3,browse
3,2025-04-03,2,loan_apply
3,2025-02-20,3,loan_apply
3,2025-01-05,2,promo_click
4,2025-01-22,5,payment
4,2025-01-01,5,loan_apply
4,2025-01-12,2,payment
4,2025-02-03,1,payment
4,2025-03-31,5,browse
4,2025-03-14,2,loan_apply
4,2025-02-16,1,payment
4,2025-04-21,3,browse
4,2025-02-17,5,loan_apply
4,2025-01-26,4,loan_apply
4,2025-01-08,1,browse
4,2025-02-21,2,promo_click
4,2025-03-28,2,loan_apply
4,2025-01-26,3,promo_click
4,2025-04-25,3,browse
4,2025-01-23,3,browse
4,2025-04-19,2,payment
5,2025-04-25,1,browse
5,2025-04-11,4,payment
5,2025-02-08,1,loan_apply
5,2025-04-13,2,payment
5,2025-02-13,1,loan_apply
5,2025-01-13,4,loan_apply
5,2025-03-09,2,browse
6,2025-01-18,4,browse
6,2025-03-27,2,browse
6,2025-01-08,1,promo_click
6,2025-03-24,2,loan_apply
6,2025-04-11,4,payment
6,2025-03-05,2,browse
6,2025-02-25,3,loan_apply
6,2025-03-11,5,loan_apply
6,2025-02-02,5,payment
6,2025-01-21,4,payment
6,2025-03-16,1,browse
6,2025-01-03,3,browse
6,2025-02-09,5,promo_click
6,2025-01-24,2,promo_click
6,2025-04-02,3,promo_click
6,2025-03-20,1,payment
6,2025-04-30,3,payment
7,2025-03-20,3,promo_click
7,2025-01-26,3,loan_apply
7,2025-02-13,5,payment
7,2025-01-26,4,browse
7,2025-03-25,1,promo_click
7,2025-04-23,4,browse
8,2025-01-14,5,payment
8,2025-01-11,4,loan_apply
